"Plan Change New Max Concurrent Streams","Plan Change Old Max Streaming Quality","Cancellation Reason","Plan Change Old Category","Is Free Trial At Signup","Subscription Opened Ts","Plan Change Old Max Concurrent Streams","Signup Max Concurrent Streams","Signup Plan Category","Plan Change New Category","Plan Change Date","Subscription Closed Ts","Is Customer Initiated Cancel","Signup Max Streaming Quality","Plan Change New Max Streaming Quality"
"1","SD","","STREAMING ONLY","0","2022-08-04 14:26:26.818+0000","1","1","STREAMING ONLY","STREAMING ONLY","20251003","","","SD","HD720p"
"2","HD720p","VOL_CUSTOMER","STREAMING ONLY","0","2021-10-15 16:07:35.642+0000","1","1","STREAMING ONLY","STREAMING ONLY","20211213","2022-05-15 16:44:37.685","1","HD720p","HD"
