"Localized Device Description","Country","Esn","Region Code Display Name","Ip","Device Description","Ts","Near Location"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:84d5:2a98:0:0:5f66:5998","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-07 07:41:50","DEHRADUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:bc63:ca91:0:0:3214:e28a","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-06 02:24:23","DEHRADUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bc29:c70b:0:0:31f0:b027","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-05 19:47:57","NAUSHERA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","106.219.193.218","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-04 14:44:07","DALANWALA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:86a7:258b:0:0:662b:7f55","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-04 09:05:41","DEHRADUN"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","223.188.16.23","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-04 07:23:01","MUNI"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:bc61:f438:0:0:311d:1d8a","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-04 04:22:51","CHAURAIPUR"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","2401:4900:8683:e5f9:0:0:531:f6ac","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-03 20:47:11","BHONGAON"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttar Pradesh","106.219.195.111","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-03 14:34:01","AJRARA"
"OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","IN","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","Uttarakhand","2401:4900:86ad:e128:0:0:65b7:d751","OnePlus_CPH2491_chid_5687eaa0-047a-11e9-b731-9f73876061f5","2026-04-03 13:23:35","DEHRADUN"
